threadNum,insertSize,time,rate
1,50000,543468,1.04043
2,50000,338041,0.647157
3,50000,279596,0.535268
4,50000,280859,0.537686
5,50000,259161,0.496146
6,50000,247627,0.474065
7,50000,263994,0.505399
8,50000,303221,0.580496
9,50000,290018,0.55522
10,50000,297432,0.569413
11,50000,292921,0.560777
12,50000,303830,0.581662
13,50000,299825,0.573995
14,50000,310455,0.594345
15,50000,303302,0.580651
16,50000,315757,0.604495
17,50000,313971,0.601076
18,50000,360458,0.690073
19,50000,355187,0.679982
20,50000,371192,0.710622
21,50000,386632,0.740181
22,50000,394414,0.755079
23,50000,455200,0.87145
24,50000,435809,0.834327
25,50000,442926,0.847952
26,50000,478585,0.916219
27,50000,504671,0.966159
28,50000,521393,0.998172
29,50000,558937,1.07005
30,50000,560783,1.07358
31,50000,589151,1.12789
32,50000,601692,1.1519
