5000 10000
0 1 2
0 2 3
0 3 9
0 5 5
0 6 2
0 9 9
0 196 8
0 866 4
0 1284 494
0 1921 3
0 3281 933
0 4271 9
0 4933 902
1 4 8
1 7 8
1 16 1
1 31 10
1 72 1
1 221 6
1 225 756
1 278 6
1 316 3
1 432 6
1 820 10
1 1522 8
1 1704 888
1 2603 243
1 2609 1
1 3308 82
1 3488 431
2 14 2
2 18 3
2 19 5
2 101 4
2 182 6
2 190 4
2 206 7
2 309 5
2 365 3
2 435 6
2 1309 7
2 2419 614
2 3615 876
2 4612 9
3 23 1
3 39 1
3 448 612
3 567 482
3 789 447
3 970 7
3 1321 3
3 1474 10
3 2183 548
3 2191 401
4 32 10
4 55 4
4 112 3
4 132 7
4 313 3
4 474 2
4 570 3
4 825 7
4 1854 400
5 11 1
5 152 215
5 201 2
5 218 10
5 240 2
5 436 2
5 769 4
5 1118 7
5 1537 3
5 1634 649
5 2883 275
5 3642 747
5 4172 693
5 4710 698
6 13 8
6 15 1
6 24 9
6 27 4
6 49 7
6 273 4
6 389 3
6 828 1
6 3577 387
6 3867 49
7 8 6
7 210 8
7 217 9
7 1280 989
7 2690 5
7 3648 291
8 12 3
8 25 2
8 38 2
8 54 5
8 64 7
8 192 10
8 1650 9
8 2200 9
8 2492 964
8 4291 7
9 10 1
9 80 3
9 232 4
9 345 2
9 562 186
9 579 4
9 2032 1
9 4691 9
10 42 5
10 134 10
10 3456 3
10 3978 232
11 20 1
11 34 10
11 61 3
11 314 8
11 552 7
11 729 541
11 819 4
11 2778 139
12 26 10
12 586 9
12 1145 930
12 4010 181
12 4208 19
12 4224 380
13 17 6
13 28 10
13 50 6
13 93 8
13 111 8
13 1310 5
13 1559 68
13 2552 398
13 4911 4
14 66 1
14 259 9
14 3793 938
15 92 5
15 261 978
15 387 4
15 955 7
15 1098 2
15 1164 10
15 2357 821
15 4891 387
15 4915 619
16 37 5
16 78 3
16 100 4
16 119 2
16 235 10
16 411 7
16 1038 672
17 47 8
17 608 10
17 984 421
17 1290 9
17 1317 4
17 1635 7
17 3715 362
17 3868 3
18 21 10
18 41 1
18 582 8
18 1418 1
18 1541 9
18 2095 38
18 2317 52
18 4063 910
18 4257 513
19 33 6
19 63 10
19 122 8
19 194 3
19 339 3
19 1694 6
19 2388 539
19 2442 33
19 4784 5
20 71 6
20 177 9
20 1851 125
20 4107 7
20 4124 645
20 4715 254
21 22 5
21 35 5
21 40 6
21 43 10
21 46 2
21 81 4
21 156 6
21 239 2
21 291 5
21 349 2
21 438 2
21 1561 536
21 2354 961
22 30 9
22 58 9
22 96 9
22 163 8
22 420 5
22 612 3
22 620 325
22 881 871
22 994 779
22 3202 2
23 53 10
23 106 9
23 231 9
23 395 7
23 1009 2
23 1109 685
23 1620 3
24 45 8
24 195 8
24 335 9
24 774 5
24 914 7
24 2075 1
24 2551 763
24 3383 6
24 3651 9
25 36 4
25 59 2
25 73 2
25 264 4
25 403 871
25 751 10
25 1184 615
25 1689 25
25 1878 804
26 69 2
26 94 9
26 116 6
26 119 457
26 718 10
26 1481 431
26 2679 4
26 2793 169
26 3662 5
27 56 3
27 77 6
27 2177 7
27 2244 553
27 3189 6
27 3372 6
27 4364 8
27 4575 202
28 29 6
28 148 9
28 223 9
28 974 428
28 998 7
28 3649 10
28 3724 6
28 3725 6
29 120 10
29 1101 9
29 2099 8
29 2224 836
29 2578 58
29 3733 3
30 65 2
30 244 5
30 649 495
30 662 3
30 680 2
30 1606 1
30 2055 978
30 2285 6
30 2292 10
30 2857 5
30 2858 1
30 3937 1
31 107 9
31 109 5
31 431 3
31 451 2
31 658 246
31 1090 3
31 1401 8
31 1806 429
31 2491 8
32 324 2
32 916 294
32 1516 246
32 2863 75
32 2889 9
33 168 39
33 178 9
33 225 9
33 262 789
33 568 5
33 590 9
33 690 1
33 888 6
33 1573 4
33 2422 4
33 3487 487
34 307 5
34 2587 1
34 2657 567
35 60 5
35 76 1
35 285 1
35 332 8
35 444 7
35 485 4
35 1902 301
35 2641 3
35 3637 2
36 74 4
36 83 2
36 301 3
36 471 8
36 1457 1
36 2181 1
36 4257 980
37 52 9
37 75 9
37 79 5
37 1470 242
37 4322 863
38 162 3
38 227 7
38 255 4
38 1326 3
38 3418 757
38 3983 5
39 44 8
39 1649 517
39 3121 640
39 3597 2
39 4537 10
39 4862 7
39 4936 8
40 136 3
40 1684 10
40 2498 494
40 3174 4
41 702 297
41 730 54
42 51 5
42 87 3
42 648 824
42 839 5
42 1337 221
42 3753 549
42 4877 10
43 48 3
43 57 8
43 67 4
43 219 3
43 317 2
43 476 10
43 1389 10
43 1642 519
43 1858 4
43 2955 745
44 85 5
44 1055 803
44 1070 362
44 1256 3
44 1455 311
45 129 10
45 250 7
45 286 2
45 924 809
45 1068 6
45 1892 8
45 1988 834
45 2142 9
45 2342 5
45 3961 308
46 62 5
46 2864 145
46 4666 8
47 164 10
47 1941 445
47 2375 10
47 2867 310
47 4147 918
48 169 9
48 720 9
48 1183 10
48 1723 10
48 4818 908
49 168 7
49 341 1
49 1303 561
49 1334 9
49 1448 9
49 2103 6
49 3230 293
49 4657 7
50 99 4
50 494 4
50 533 1
50 572 4
50 628 7
50 649 2
50 1626 10
50 3947 672
51 70 4
51 84 3
51 159 8
51 287 903
51 289 1
51 727 7
51 740 3
51 1239 8
51 1243 2
51 1941 237
51 4166 994
52 82 5
52 1772 797
52 4378 293
52 4956 459
53 86 2
53 416 8
53 1279 212
53 1829 7
53 3259 1
53 4071 36
53 4384 6
54 252 4
54 1453 9
54 1501 877
54 2562 9
54 2773 4
54 4812 25
54 4927 402
54 4949 184
55 115 6
55 131 1
55 135 4
55 2453 9
55 3029 77
55 3155 4
55 4695 6
56 401 912
56 2301 151
56 2598 142
56 4109 7
57 295 7
57 2114 87
57 2118 9
57 2152 5
57 4229 9
58 526 710
58 1163 3
59 90 8
59 154 4
59 266 149
59 548 6
59 656 656
59 1093 6
59 1884 4
59 2228 8
60 204 5
60 247 3
60 936 764
60 1151 767
60 1311 5
60 2162 476
60 2537 8
60 3024 678
60 3795 591
60 3979 875
61 299 9
61 400 8
61 592 7
61 1212 6
61 1508 955
61 2937 873
61 3503 4
61 4037 10
61 4113 449
62 167 9
62 216 4
62 253 7
62 589 627
62 689 769
62 1672 193
62 1875 10
62 2969 632
62 3249 59
63 68 8
63 149 8
63 185 926
63 3987 212
63 4075 178
64 848 603
64 939 5
64 2981 815
65 884 6
65 3730 690
66 113 1
66 406 6
66 490 551
66 609 583
66 1121 4
66 1219 732
66 1461 1
66 2155 242
66 3004 977
67 415 4
67 1678 7
67 4814 6
68 91 7
68 141 3
68 212 1
68 724 2
68 1267 4
68 3656 478
68 4979 976
69 157 9
69 346 10
69 798 99
69 1527 360
69 1637 69
69 1705 10
70 89 4
70 2229 237
71 185 5
71 205 2
71 226 1
71 572 438
71 822 1
71 2048 262
71 2988 356
71 3308 452
71 4532 10
72 228 7
72 408 4
72 477 5
72 1835 841
72 2556 38
72 2651 200
72 2713 9
73 88 5
73 1179 504
74 128 2
74 222 3
74 274 8
74 453 393
74 1860 815
74 1899 533
74 2283 21
74 2969 355
74 3437 5
74 3966 570
75 166 7
75 2254 922
75 2533 137
75 2993 892
75 3598 3
75 3613 358
76 133 5
76 279 5
76 641 301
76 777 8
76 1920 261
76 2210 407
76 4163 2
77 1976 2
77 2820 220
77 2847 969
78 124 5
78 693 795
78 1551 454
78 1881 6
78 3869 348
79 160 1
79 651 729
79 1099 10
79 2983 895
79 4231 4
80 1058 6
80 2197 1
80 2209 7
80 2662 23
81 95 10
81 189 7
81 929 863
81 985 38
81 1643 242
81 2688 3
81 3462 649
81 4842 6
81 4855 8
82 125 10
82 275 1
82 1080 10
82 2002 289
82 2676 722
82 4308 185
82 4674 3
83 390 5
83 811 1
83 1010 890
83 1072 6
83 2139 2
83 3660 589
83 4519 5
84 153 3
84 606 5
84 1074 2
84 1949 188
84 2268 2
84 3194 2
84 3397 1
84 3757 5
84 4048 328
85 110 9
85 1143 5
85 1440 3
85 2302 10
85 3689 1
85 4201 263
86 254 9
86 748 153
86 987 5
86 3260 684
87 104 1
87 140 2
87 150 7
87 516 9
87 959 5
87 1680 6
87 1914 401
87 4053 78
87 4282 8
88 98 5
88 118 7
88 874 7
88 1022 155
88 1117 693
88 1347 726
88 1494 812
89 123 6
89 2833 8
90 248 10
90 528 6
90 729 604
90 2103 238
91 580 2
91 738 10
91 1144 569
91 1577 3
91 2324 907
91 2425 651
91 4032 565
91 4445 510
91 4686 600
91 4828 243
92 172 6
92 304 3
92 792 6
92 845 2
92 1183 147
92 1855 1
92 2003 5
92 3406 844
92 4555 10
93 2935 2
94 105 5
94 130 2
94 269 1
94 348 2
94 661 5
94 763 968
94 4633 36
95 505 1
95 583 440
95 617 2
95 1112 740
95 1168 4
95 3067 868
95 3525 1000
95 3584 8
95 4278 9
96 97 6
96 137 3
96 1605 4
96 2842 502
96 4211 689
96 4663 30
96 4819 644
